description,price,rating,review_count,url
90W USB C Laptop Charger for Dell Latitude Precision Type C Charger Dell XPS 15 13 12 Latitude 5420 Chromebook 3100 LA90PM170 DA90PM170 DA65NM170 AC Adapter Power Cord Replacement,23,3.8 out of 5 stars,,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4OTQzNjg2MjAzNzcxNjE5OjE3MjM4MjYzOTM6c3BfYnRmOjMwMDE1MDk2MjgwMDAwMjo6MDo6&url=%2FCompatible-Precision-Chromebook-LA90PM170-Replacement%2Fdp%2FB0BCPWSG7D%2Fref%3Dsr_1_38_sspa%3Fdib%3DeyJ2IjoiMSJ9.zcgkTj9W2sSVOXRcZONBFu7bwepzrG3mJHLRBwn5SQ6bThTSa8NaTebFpGGgsk059VifKaBWIshmrUm3DErDbSgDcdYD4VqLJPiCsdso5eg1Jth2S5_dWgNi2WilBGZBO_zuikB0x-W1MZAQC1bDxxRX0sAvnAIkqQv_GnFpTc8O5DRAHtxZVlv2Nt47j2iClnBp9W9vJQwVe3VHT-IaozXDw97i-PwdDvPV3r-veHA.jGgBrsxyqYykce-LvK1f2SFsSl2NZ6geYbxL1RzEfaQ%26dib_tag%3Dse%26keywords%3Ddell%2Blaptop%26qid%3D1723826393%26sr%3D8-38-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
"Hard EVA Protective Sleeve Case Compatible for 14 inch DELL Inspiron 14 Plus/Inspiron 14 2-in-1 /New Inspiron 14 2-in-1 /New Inspiron 14 Laptop, for Dell Latitude 5430 Laptop Hard Bag (X8250)",39,4.2 out of 5 stars,,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3MTY1MTUyMTgxODYzMzM5OjE3MjM4MjYzOTc6c3BfYXRmX25leHQ6MzAwMTM3MTcxOTA5NTAyOjowOjo&url=%2FSmatree-Protective-Compatible-Inspiron-Notebook%2Fdp%2FB0CHVHY7BK%2Fref%3Dsr_1_33_sspa%3Fdib%3DeyJ2IjoiMSJ9.t8tiohPJ3Zqlr8_db26ViYqcZi8RP8IVmTwITpJhBsch3ti9WdB9WZlke3A1KKYSNDatEhdNFUcVr_y_eD_ojDdayq8xiiLiSPlIf7AYj9u3bySq-_rpUpqSxK1OTbndJ4OjnugWTkEQ4CTpj5PuAARsjidnC5cgDoAUr5R_LjLWlZzzpr4m1epm6uZ6cBmGXDFrEkD7pD6IHZlVIbsuR3b6X49dgo1fKXLQAB4t-hU.Uokyp_pb9TyTZnBVE0WAc-B51PFwxm30La-7pl19J4k%26dib_tag%3Dse%26keywords%3Ddell%2Blaptop%26qid%3D1723826397%26sr%3D8-33-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
"Anti Blue Light Blocking Screen Protector Panel for 14 inch Diagonal Laptop, Notebook, Monitor -Anti-UV Eye Protection - Widescreen Laptop Frame Hanging",30,4.2 out of 5 stars,,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3MTY1MTUyMTgxODYzMzM5OjE3MjM4MjYzOTc6c3BfYXRmX25leHQ6MjAwMTYwNDQ0MTgyMTk4OjowOjo&url=%2FBlocking-Protector-Diagonal-Notebook-Protection%2Fdp%2FB08L33JPFS%2Fref%3Dsr_1_34_sspa%3Fdib%3DeyJ2IjoiMSJ9.t8tiohPJ3Zqlr8_db26ViYqcZi8RP8IVmTwITpJhBsch3ti9WdB9WZlke3A1KKYSNDatEhdNFUcVr_y_eD_ojDdayq8xiiLiSPlIf7AYj9u3bySq-_rpUpqSxK1OTbndJ4OjnugWTkEQ4CTpj5PuAARsjidnC5cgDoAUr5R_LjLWlZzzpr4m1epm6uZ6cBmGXDFrEkD7pD6IHZlVIbsuR3b6X49dgo1fKXLQAB4t-hU.Uokyp_pb9TyTZnBVE0WAc-B51PFwxm30La-7pl19J4k%26dib_tag%3Dse%26keywords%3Ddell%2Blaptop%26qid%3D1723826397%26sr%3D8-34-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
"Inspiron 15 3520 (2024) Business Laptop (15.6"" FHD Touchscreen IPS, Intel Core i5-1155G7, 16GB RAM, 512GB SSD) Numeric Keypad, Narrow-Bezel, Webcam, Inspiron 3000, Win 11 Home, Carbon Black",498,4.6 out of 5 stars,,https://www.amazon.com/Dell-Inspiron-3520-Touchscreen-Narrow-Bezel/dp/B0CRGVMFS9/ref=sr_1_35?dib=eyJ2IjoiMSJ9.t8tiohPJ3Zqlr8_db26ViYqcZi8RP8IVmTwITpJhBsch3ti9WdB9WZlke3A1KKYSNDatEhdNFUcVr_y_eD_ojDdayq8xiiLiSPlIf7AYj9u3bySq-_rpUpqSxK1OTbndJ4OjnugWTkEQ4CTpj5PuAARsjidnC5cgDoAUr5R_LjLWlZzzpr4m1epm6uZ6cBmGXDFrEkD7pD6IHZlVIbsuR3b6X49dgo1fKXLQAB4t-hU.Uokyp_pb9TyTZnBVE0WAc-B51PFwxm30La-7pl19J4k&dib_tag=se&keywords=dell+laptop&qid=1723826397&sr=8-35
"Latitude 3440 Business Laptop (14"" FHD Display, Intel Core i5-1335U, 32GB RAM, 1TB SSD, (Beat i7-1255U)) FHD IR Webcam, Ethernet, Wi-Fi, Long Battery Life, 2024 Latitude 3000, Win 11 Pro, Gray",779,3.4 out of 5 stars,,https://www.amazon.com/Dell-Latitude-Business-i5-1135G7-i7-1065G7/dp/B0C8NCVCL9/ref=sr_1_37?dib=eyJ2IjoiMSJ9.t8tiohPJ3Zqlr8_db26ViYqcZi8RP8IVmTwITpJhBsch3ti9WdB9WZlke3A1KKYSNDatEhdNFUcVr_y_eD_ojDdayq8xiiLiSPlIf7AYj9u3bySq-_rpUpqSxK1OTbndJ4OjnugWTkEQ4CTpj5PuAARsjidnC5cgDoAUr5R_LjLWlZzzpr4m1epm6uZ6cBmGXDFrEkD7pD6IHZlVIbsuR3b6X49dgo1fKXLQAB4t-hU.Uokyp_pb9TyTZnBVE0WAc-B51PFwxm30La-7pl19J4k&dib_tag=se&keywords=dell+laptop&qid=1723826397&sr=8-37
"15.6"" Windows 11 Laptop, Intel Core i3-5005U, 16GB RAM, 512GB SSD, FHD IPS Display, 2.4G/5G WiFi, BT5.0, RJ45, Type C, Webcam, Long Battery Life - for Work, Study, and Entertainment",299,4.4 out of 5 stars,,https://www.amazon.com/BiTECOOL-Windows-i3-5005U-Display-Battery/dp/B0C8MYQRGB/ref=sr_1_38?dib=eyJ2IjoiMSJ9.t8tiohPJ3Zqlr8_db26ViYqcZi8RP8IVmTwITpJhBsch3ti9WdB9WZlke3A1KKYSNDatEhdNFUcVr_y_eD_ojDdayq8xiiLiSPlIf7AYj9u3bySq-_rpUpqSxK1OTbndJ4OjnugWTkEQ4CTpj5PuAARsjidnC5cgDoAUr5R_LjLWlZzzpr4m1epm6uZ6cBmGXDFrEkD7pD6IHZlVIbsuR3b6X49dgo1fKXLQAB4t-hU.Uokyp_pb9TyTZnBVE0WAc-B51PFwxm30La-7pl19J4k&dib_tag=se&keywords=dell+laptop&qid=1723826397&sr=8-38
130W USB C Type C Adapter Laptop Charger Compatible with Dell XPS 15 2in1 9575 Precision 5530 2in1 5550 5750 3560 3550 3551 Latitude 7410 7310 7210 9410 9510 9575 5420 5520 5510 Power Supply Cord,27,4.0 out of 5 stars,,https://www.amazon.com/Adapter-Charger-Compatible-Precision-Latitude/dp/B09HZ5GTBP/ref=sr_1_40?dib=eyJ2IjoiMSJ9.t8tiohPJ3Zqlr8_db26ViYqcZi8RP8IVmTwITpJhBsch3ti9WdB9WZlke3A1KKYSNDatEhdNFUcVr_y_eD_ojDdayq8xiiLiSPlIf7AYj9u3bySq-_rpUpqSxK1OTbndJ4OjnugWTkEQ4CTpj5PuAARsjidnC5cgDoAUr5R_LjLWlZzzpr4m1epm6uZ6cBmGXDFrEkD7pD6IHZlVIbsuR3b6X49dgo1fKXLQAB4t-hU.Uokyp_pb9TyTZnBVE0WAc-B51PFwxm30La-7pl19J4k&dib_tag=se&keywords=dell+laptop&qid=1723826397&sr=8-40
"Inspiron 13 7000 2-in-1 - 13.3"" Touch-Screen Laptop - Intel Core i5 - 8GB Memory - 512GB SSD + 32GB Optane - Silver - i7300-5395SLV-PUS",579,3.5 out of 5 stars,,https://www.amazon.com/Dell-Inspiron-2-Touch-Screen-i7300-5395SLV-PUS/dp/B08DRQ8ZH6/ref=sr_1_41?dib=eyJ2IjoiMSJ9.t8tiohPJ3Zqlr8_db26ViYqcZi8RP8IVmTwITpJhBsch3ti9WdB9WZlke3A1KKYSNDatEhdNFUcVr_y_eD_ojDdayq8xiiLiSPlIf7AYj9u3bySq-_rpUpqSxK1OTbndJ4OjnugWTkEQ4CTpj5PuAARsjidnC5cgDoAUr5R_LjLWlZzzpr4m1epm6uZ6cBmGXDFrEkD7pD6IHZlVIbsuR3b6X49dgo1fKXLQAB4t-hU.Uokyp_pb9TyTZnBVE0WAc-B51PFwxm30La-7pl19J4k&dib_tag=se&keywords=dell+laptop&qid=1723826397&sr=8-41
"Keyboard Cover for 2021 2020 15.6"" Dell Inspiron 15 5000 5501 5502 5505 5508 5584 5593 5593 5598, Dell Inspiron 15 7000 7501 7506 7590 7591 7706, Dell Vostro 15 7590 7591 7500 US Keyboard Skin-GPINK",6,4.4 out of 5 stars,,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3MTY1MTUyMTgxODYzMzM5OjE3MjM4MjYzOTc6c3BfbXRmOjIwMDEzODYwMzc2MDU5ODo6MDo6&url=%2FKeyboard-Inspiron-Laptop-Vostro-Layout-Gpink%2Fdp%2FB081T3WH9W%2Fref%3Dsr_1_43_sspa%3Fdib%3DeyJ2IjoiMSJ9.t8tiohPJ3Zqlr8_db26ViYqcZi8RP8IVmTwITpJhBsch3ti9WdB9WZlke3A1KKYSNDatEhdNFUcVr_y_eD_ojDdayq8xiiLiSPlIf7AYj9u3bySq-_rpUpqSxK1OTbndJ4OjnugWTkEQ4CTpj5PuAARsjidnC5cgDoAUr5R_LjLWlZzzpr4m1epm6uZ6cBmGXDFrEkD7pD6IHZlVIbsuR3b6X49dgo1fKXLQAB4t-hU.Uokyp_pb9TyTZnBVE0WAc-B51PFwxm30La-7pl19J4k%26dib_tag%3Dse%26keywords%3Ddell%2Blaptop%26qid%3D1723826397%26sr%3D8-43-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
Hard EVA Protective Sleeve Case Compatible for 16 inch DELL Alienware X16 R2 Gaming Laptop (X8323),45,4.6 out of 5 stars,,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3MTY1MTUyMTgxODYzMzM5OjE3MjM4MjYzOTc6c3BfbXRmOjMwMDEzNzI3MDA2ODQwMjo6MDo6&url=%2FSmatree-Protective-Sleeve-Compatible-Alienware%2Fdp%2FB0CHVKBFFT%2Fref%3Dsr_1_44_sspa%3Fdib%3DeyJ2IjoiMSJ9.t8tiohPJ3Zqlr8_db26ViYqcZi8RP8IVmTwITpJhBsch3ti9WdB9WZlke3A1KKYSNDatEhdNFUcVr_y_eD_ojDdayq8xiiLiSPlIf7AYj9u3bySq-_rpUpqSxK1OTbndJ4OjnugWTkEQ4CTpj5PuAARsjidnC5cgDoAUr5R_LjLWlZzzpr4m1epm6uZ6cBmGXDFrEkD7pD6IHZlVIbsuR3b6X49dgo1fKXLQAB4t-hU.Uokyp_pb9TyTZnBVE0WAc-B51PFwxm30La-7pl19J4k%26dib_tag%3Dse%26keywords%3Ddell%2Blaptop%26qid%3D1723826397%26sr%3D8-44-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"Precision 7780 Mobile Workstation - 17.3"" FHD AG Display - 5.5Ghz Intel Core i9-13950HX 24-Core - 128GB CAMM RAM - NV RTX 5000 Ada (16GB GDDR6) - 2TB SSD - Windows 11 Pro","4,950",,,https://www.amazon.com/Dell-Precision-7750-Mobile-Workstation/dp/B09KCPXPPR/ref=sr_1_48?dib=eyJ2IjoiMSJ9.t8tiohPJ3Zqlr8_db26ViYqcZi8RP8IVmTwITpJhBsch3ti9WdB9WZlke3A1KKYSNDatEhdNFUcVr_y_eD_ojDdayq8xiiLiSPlIf7AYj9u3bySq-_rpUpqSxK1OTbndJ4OjnugWTkEQ4CTpj5PuAARsjidnC5cgDoAUr5R_LjLWlZzzpr4m1epm6uZ6cBmGXDFrEkD7pD6IHZlVIbsuR3b6X49dgo1fKXLQAB4t-hU.Uokyp_pb9TyTZnBVE0WAc-B51PFwxm30La-7pl19J4k&dib_tag=se&keywords=dell+laptop&qid=1723826397&sr=8-48
"Docking Station Dual DisplayPort, MOKiN USB C Hub Dongle with 2 DP, HDMI, 3 USB A 3.0, SD & Micro SD Slot, PD Charging Port for MacBook/Dell XPS/Steam Deck/HP/Lenovo ThinkPad/Microsoft Surface",39,4.2 out of 5 stars,,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3MTY1MTUyMTgxODYzMzM5OjE3MjM4MjYzOTc6c3BfYnRmOjIwMDEzOTI5Mjk1MTY5ODo6MDo6&url=%2FDisplayPort-MOKiN-Charging-ThinkPad-Microsoft%2Fdp%2FB0B3MT6NWZ%2Fref%3Dsr_1_53_sspa%3Fdib%3DeyJ2IjoiMSJ9.t8tiohPJ3Zqlr8_db26ViYqcZi8RP8IVmTwITpJhBsch3ti9WdB9WZlke3A1KKYSNDatEhdNFUcVr_y_eD_ojDdayq8xiiLiSPlIf7AYj9u3bySq-_rpUpqSxK1OTbndJ4OjnugWTkEQ4CTpj5PuAARsjidnC5cgDoAUr5R_LjLWlZzzpr4m1epm6uZ6cBmGXDFrEkD7pD6IHZlVIbsuR3b6X49dgo1fKXLQAB4t-hU.Uokyp_pb9TyTZnBVE0WAc-B51PFwxm30La-7pl19J4k%26dib_tag%3Dse%26keywords%3Ddell%2Blaptop%26qid%3D1723826397%26sr%3D8-53-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
130W USB C Type C Adapter Laptop Charger Compatible with Dell XPS 15 2in1 9575 Precision 5530 2in1 5550 5750 3560 3550 3551 Latitude 7410 7310 7210 9410 9510 9575 5420 5520 5510 Power Supply Cord,27,4.0 out of 5 stars,,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3MTY1MTUyMTgxODYzMzM5OjE3MjM4MjYzOTc6c3BfYnRmOjMwMDM0MTA1Njk1MTUwMjo6MDo6&url=%2FAdapter-Charger-Compatible-Precision-Latitude%2Fdp%2FB09HZ5GTBP%2Fref%3Dsr_1_54_sspa%3Fdib%3DeyJ2IjoiMSJ9.t8tiohPJ3Zqlr8_db26ViYqcZi8RP8IVmTwITpJhBsch3ti9WdB9WZlke3A1KKYSNDatEhdNFUcVr_y_eD_ojDdayq8xiiLiSPlIf7AYj9u3bySq-_rpUpqSxK1OTbndJ4OjnugWTkEQ4CTpj5PuAARsjidnC5cgDoAUr5R_LjLWlZzzpr4m1epm6uZ6cBmGXDFrEkD7pD6IHZlVIbsuR3b6X49dgo1fKXLQAB4t-hU.Uokyp_pb9TyTZnBVE0WAc-B51PFwxm30La-7pl19J4k%26dib_tag%3Dse%26keywords%3Ddell%2Blaptop%26qid%3D1723826397%26sr%3D8-54-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
